Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
158.0,159.90383715157336,142.77801684770938,177.02965745543733,2015-06-07 16:00:00-04:00
156.0,160.03816849994257,142.91155370068077,177.16478329920437,2015-06-07 17:00:00-04:00
158.0,159.5067594566191,142.3800514830503,176.63346743018792,2015-06-07 18:00:00-04:00
159.0,158.7449591655168,141.6198440659728,175.8700742650608,2015-06-07 19:00:00-04:00
159.0,158.5384093141977,141.41459741372668,175.66222121466873,2015-06-07 20:00:00-04:00
157.0,157.36468051293315,140.24037909959594,174.48898192627036,2015-06-07 21:00:00-04:00
155.0,156.9616364976273,139.83774785085785,174.08552514439674,2015-06-07 22:00:00-04:00
154.0,156.38805517087886,139.26429518234647,173.51181515941124,2015-06-07 23:00:00-04:00
154.0,155.95939232876816,138.86799988493158,173.05078477260474,2015-06-08 00:00:00-04:00
152.0,155.47216541219765,138.38044316724972,172.56388765714559,2015-06-08 01:00:00-04:00
154.0,156.30994297975937,139.21919550369643,173.4006904558223,2015-06-08 02:00:00-04:00
152.0,154.81754840229945,137.7268071438816,171.90828966071732,2015-06-08 03:00:00-04:00
155.0,154.49396436134342,137.4028047981762,171.58512392451064,2015-06-08 04:00:00-04:00
151.0,154.03247552689,136.94177230168492,171.1231787520951,2015-06-08 05:00:00-04:00
147.0,154.4617609802541,137.37097178085202,171.55255017965618,2015-06-08 06:00:00-04:00
147.0,154.73752960070988,137.64535627715858,171.82970292426117,2015-06-08 07:00:00-04:00
149.0,156.3326257442941,139.2392492715223,173.42600221706587,2015-06-08 08:00:00-04:00
157.0,157.46732016123522,140.3738413486474,174.56079897382304,2015-06-08 09:00:00-04:00
161.0,157.8466393952705,140.75400630316494,174.93927248737606,2015-06-08 10:00:00-04:00
160.0,159.43025522715348,142.3378271427573,176.52268331154966,2015-06-08 11:00:00-04:00
160.0,160.00888991890278,142.91460200631064,177.10317783149492,2015-06-08 12:00:00-04:00
161.0,160.5626363300101,143.46871739384818,177.656555266172,2015-06-08 13:00:00-04:00
162.0,161.48893410529647,144.39653634629695,178.58133186429598,2015-06-08 14:00:00-04:00
162.0,162.00853989905687,144.91356822261184,179.1035115755019,2015-06-08 15:00:00-04:00
165.0,163.0132522909947,145.9211405954683,180.1053639865211,2015-06-08 16:00:00-04:00
180.0,162.02940309492834,144.93868127579535,179.12012491406134,2015-06-08 17:00:00-04:00
178.0,160.93886395547787,143.84617777233532,178.03155013862042,2015-06-08 18:00:00-04:00
177.0,161.45078710817305,144.35864298804995,178.54293122829614,2015-06-08 19:00:00-04:00
177.0,160.11295064911943,143.02143996287236,177.2044613353665,2015-06-08 20:00:00-04:00
171.0,159.77314261033956,142.68230027741018,176.86398494326895,2015-06-08 21:00:00-04:00
162.0,159.41851828817892,142.32811826087828,176.50891831547955,2015-06-08 22:00:00-04:00
158.0,157.8553792439185,140.7649222758076,174.94583621202938,2015-06-08 23:00:00-04:00
156.0,157.1416576225594,140.0088128725107,174.27450237260808,2015-06-09 00:00:00-04:00
155.0,155.3302308713586,138.19742356300333,172.46303817971386,2015-06-09 01:00:00-04:00
156.0,156.28272543799457,139.1503834220135,173.41506745397564,2015-06-09 02:00:00-04:00
152.0,154.49171154045058,137.35782174397778,171.62560133692338,2015-06-09 03:00:00-04:00
153.0,154.16857651255606,137.03613358948746,171.30101943562465,2015-06-09 04:00:00-04:00
152.0,153.5472119712237,136.41484164437585,170.67958229807155,2015-06-09 05:00:00-04:00
150.0,153.92702872494112,136.79459028767232,171.05946716220993,2015-06-09 06:00:00-04:00
145.0,153.95482377995785,136.82222761475848,171.08741994515722,2015-06-09 07:00:00-04:00
149.0,155.25529147109333,138.11833576539928,172.39224717678738,2015-06-09 08:00:00-04:00
152.0,156.02392880033057,138.88620438404928,173.16165321661185,2015-06-09 09:00:00-04:00
162.0,157.4856400656758,140.34912793220153,174.62215219915007,2015-06-09 10:00:00-04:00
159.0,159.1734129824056,142.03822302141154,176.30860294339968,2015-06-09 11:00:00-04:00
161.0,160.55551084049023,143.4182644079115,177.69275727306896,2015-06-09 12:00:00-04:00
161.0,161.4310698656017,144.2935425144993,178.5685972167041,2015-06-09 13:00:00-04:00
169.0,162.87605951366385,145.7403212497572,180.0117977775705,2015-06-09 14:00:00-04:00
183.0,163.1371399901558,146.00157424363297,180.2727057366786,2015-06-09 15:00:00-04:00
176.0,162.06378725255513,144.92952518820226,179.198049316908,2015-06-09 16:00:00-04:00
162.0,161.4641000930195,144.33044429791272,178.5977558881263,2015-06-09 17:00:00-04:00
161.0,161.5258246573659,144.39262033695005,178.65902897778173,2015-06-09 18:00:00-04:00
162.0,160.84479165932106,143.71136697655507,177.97821634208705,2015-06-09 19:00:00-04:00
160.0,159.8266489023386,142.6930932239116,176.9602045807656,2015-06-09 20:00:00-04:00
158.0,157.85206190993085,140.71913630725842,174.98498751260328,2015-06-09 21:00:00-04:00
157.0,157.19550890751242,140.06298573601686,174.32803207900798,2015-06-09 22:00:00-04:00
155.0,156.31011898142822,139.17757526872887,173.44266269412756,2015-06-09 23:00:00-04:00
154.0,155.17877043067858,138.04561145643535,172.3119294049218,2015-06-10 00:00:00-04:00
151.0,155.3674032535164,138.2348326180001,172.49997388903267,2015-06-10 01:00:00-04:00
155.0,156.52970029995296,139.39804572265882,173.6613548772471,2015-06-10 02:00:00-04:00
152.0,154.76642812497738,137.6347470845247,171.89810916543007,2015-06-10 03:00:00-04:00
152.0,154.18684043067196,137.0551492674436,171.31853159390033,2015-06-10 04:00:00-04:00
150.0,153.59348487782134,136.46177104939602,170.72519870624666,2015-06-10 05:00:00-04:00
153.0,153.50305467196847,136.37032509387902,170.63578425005792,2015-06-10 06:00:00-04:00
152.0,154.32801792185043,137.19509582061423,171.46094002308664,2015-06-10 07:00:00-04:00
150.0,155.9430020935002,138.80860325370827,173.07740093329215,2015-06-10 08:00:00-04:00
150.0,157.85174699259431,140.71725931276848,174.98623467242015,2015-06-10 09:00:00-04:00
153.0,159.69587896238306,142.56140948475627,176.83034844000986,2015-06-10 10:00:00-04:00
156.0,161.2114463631848,144.0759036434641,178.34698908290548,2015-06-10 11:00:00-04:00
160.0,162.13849489171272,145.00329860339232,179.27369118003313,2015-06-10 12:00:00-04:00
171.0,163.13626725899354,146.0009883064356,180.27154621155148,2015-06-10 13:00:00-04:00
175.0,163.98565089728245,146.85060774510777,181.12069404945714,2015-06-10 14:00:00-04:00
175.0,164.52267378163927,147.38752124983506,181.65782631344348,2015-06-10 15:00:00-04:00
174.0,163.60749088024275,146.47265605765773,180.74232570282777,2015-06-10 16:00:00-04:00
174.0,162.80360560755,145.67032672015492,179.93688449494508,2015-06-10 17:00:00-04:00
179.0,162.23763149684424,145.10277630405443,179.37248668963406,2015-06-10 18:00:00-04:00
155.0,160.53773908728678,143.40296433377765,177.67251384079592,2015-06-10 19:00:00-04:00
153.0,159.4721402598688,142.33877917505006,176.60550134468755,2015-06-10 20:00:00-04:00
